,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Geloof Niet Alles Wat Je Ziet,False,37,0.723,0.454,1,-8.598,0,0.187,0.641,0.0,0.0999,0.732,92.153
1,Ik Neem Jou Niet Voor Lief,True,43,0.941,0.562,0,-5.594,1,0.0667,0.239,0.0,0.0942,0.778,130.022
2,In the Morning,False,58,0.644,0.341,2,-11.93,0,0.0285,0.851,0.000187,0.123,0.328,126.943
3,Praise The Lord (Da Shine) (feat. Skepta),True,82,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
4,Something In The Way,False,83,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218
5,Somebody That I Used to Know,False,60,0.865,0.511,0,-6.983,1,0.0362,0.544,9.38e-05,0.102,0.774,129.059
6,S&M,False,74,0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975
7,Englishman In New York,False,72,0.674,0.347,9,-17.707,1,0.0364,0.396,1.05e-05,0.0916,0.647,102.013
8,Hard To Say Goodbye,False,69,0.638,0.718,0,-3.995,0,0.0254,0.175,0.0,0.182,0.418,101.013
9,"Alone, Pt. II",False,76,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033
10,Can't Pretend,False,66,0.468,0.473,1,-8.503,0,0.0281,0.278,0.00061,0.117,0.286,79.055
11,Glimmer of hope,False,66,0.39,0.568,4,-8.439,0,0.0288,0.147,0.945,0.162,0.0371,145.065
12,Gevangen In Het Donker,False,25,0.722,0.53,7,-7.849,1,0.194,0.479,3.67e-05,0.181,0.178,91.896
13,Bad - 2012 Remaster,False,72,0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091
14,Gimme! Gimme! Gimme! (A Man After Midnight),False,80,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
15,Don't Go Yet,False,83,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108
16,Some Say,False,53,0.644,0.175,3,-9.595,0,0.0324,0.866,0.0,0.119,0.211,105.066
17,Bored,False,85,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959
18,Bad Man (Smooth Criminal),True,74,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034
19,Pepas,False,56,0.718,0.833,4,-5.266,0,0.0283,0.0251,6.75e-05,0.0681,0.62,129.937
20,Uit Elkaar,False,56,0.716,0.712,4,-6.247,1,0.128,0.218,0.0,0.112,0.562,84.978
21,Man Sorry,False,50,0.886,0.547,0,-7.187,1,0.0551,0.00315,0.0172,0.14,0.832,130.042
22,Donnie op de Monnie,False,38,0.834,0.573,2,-10.461,1,0.178,0.101,1.67e-05,0.101,0.9,147.968
23,Terug Bij Jou,False,49,0.707,0.521,7,-8.371,0,0.0527,0.497,0.0,0.184,0.283,130.002
24,Down Under,False,72,0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115
25,When I'm Gone,True,70,0.618,0.746,10,-5.476,0,0.352,0.0553,0.0,0.273,0.75,75.272
26,Utrecht,False,47,0.65,0.638,10,-4.633,0,0.109,0.237,0.0,0.239,0.76,84.355
27,Dua,False,73,0.776,0.727,0,-6.565,1,0.0377,0.254,0.0,0.155,0.147,100.004
28,Lange dagen,True,30,0.827,0.741,10,-4.732,0,0.27,0.318,0.0,0.214,0.798,99.151
29,Mon p'tit loup,True,53,0.779,0.821,4,-3.498,0,0.248,0.0736,0.0,0.167,0.719,101.847
