,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Ibiza Stories,True,62,0.649,0.407,9,-12.874,0,0.434,0.331,0.0,0.109,0.459,93.906
1,ANTWOORD,True,52,0.782,0.626,0,-7.795,0,0.388,0.418,0.0,0.109,0.694,93.948
2,I Follow Rivers,False,47,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262
3,Recenseo,False,38,0.616,0.679,8,-6.941,0,0.0306,0.00885,0.306,0.135,0.359,137.021
4,Over,False,62,0.684,0.559,6,-9.072,0,0.255,0.163,0.0,0.149,0.223,96.361
5,Geloof Niet Alles Wat Je Ziet,False,40,0.723,0.454,1,-8.598,0,0.187,0.641,0.0,0.0999,0.732,92.153
6,In the Morning,False,62,0.644,0.341,2,-11.93,0,0.0285,0.851,0.000187,0.123,0.328,126.943
7,I'm Blue,False,54,0.746,0.788,0,-5.156,0,0.0804,0.217,1.78e-05,0.356,0.589,106.005
8,Praise The Lord (Da Shine) (feat. Skepta),True,85,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
9,Talk About,False,78,0.814,0.874,6,-5.316,1,0.0425,0.000222,0.522,0.276,0.434,123.992
10,Ik Neem Jou Niet Voor Lief,True,47,0.941,0.562,0,-5.594,1,0.0667,0.239,0.0,0.0942,0.778,130.022
11,I'm Blue - Club Mix,False,66,0.735,0.915,0,-5.082,0,0.0475,0.0456,0.000152,0.238,0.615,124.007
12,Oeh la La,True,47,0.781,0.7,1,-7.262,0,0.0583,0.0978,0.00568,0.108,0.578,162.012
13,Something In The Way,False,87,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218
14,Louboutin,True,55,0.759,0.625,7,-7.933,1,0.191,0.121,0.0,0.0888,0.626,120.112
15,Ferrari,False,68,0.844,0.688,1,-7.879,0,0.049,0.0129,5.39e-05,0.0492,0.695,124.992
16,Can't Pretend,False,70,0.468,0.473,1,-8.503,0,0.0281,0.278,0.00061,0.117,0.286,79.055
17,Regen,True,54,0.623,0.479,5,-8.874,1,0.418,0.269,0.0,0.32,0.634,96.9
18,Bad Man (Smooth Criminal),True,78,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034
19,"Oost West, Thuis Best",False,59,0.673,0.631,8,-8.284,0,0.368,0.412,0.0,0.107,0.676,94.211
20,Wie Ben Jij,True,52,0.798,0.577,1,-7.671,1,0.15,0.627,0.0,0.119,0.52,93.032
21,Formidable,True,73,0.513,0.628,4,-9.056,0,0.19,0.0997,0.0,0.146,0.501,70.568
22,"Alone, Pt. II",False,80,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033
23,Hard To Say Goodbye,False,73,0.638,0.718,0,-3.995,0,0.0254,0.175,0.0,0.182,0.418,101.013
24,W Side,True,47,0.893,0.482,6,-11.59,0,0.103,0.726,3.14e-06,0.0896,0.623,98.087
25,Somebody That I Used to Know,False,63,0.865,0.511,0,-6.983,1,0.0362,0.544,9.38e-05,0.102,0.774,129.059
26,Superior,False,35,0.539,0.281,10,-18.559,1,0.0504,0.33,0.928,0.0972,0.191,176.038
27,S&M,False,78,0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975
28,Zeven Dagen Lang,False,28,0.555,0.813,9,-5.277,0,0.0318,0.0999,0.0138,0.303,0.643,121.997
29,Pepas,False,60,0.718,0.833,4,-5.266,0,0.0283,0.0251,6.75e-05,0.0681,0.62,129.937
