,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Treinstation,True,48,0.776,0.8,7,-5.178,1,0.181,0.221,0.0,0.405,0.509,97.949
1,ODZ,False,24,0.705,0.825,10,-5.493,0,0.288,0.058,0.0,0.254,0.585,146.118
2,"Keizer, koning, admiraal",False,44,0.757,0.865,10,-4.955,0,0.202,0.15,0.0,0.145,0.833,90.016
3,Fata Morgana,False,28,0.525,0.745,1,-6.157,1,0.404,0.0671,0.0,0.16,0.383,82.967
4,Drive By's,True,39,0.685,0.735,1,-7.37,1,0.085,0.182,0.238,0.113,0.178,89.468
5,Brand New Day,False,25,0.436,0.7,0,-5.458,0,0.348,0.00919,0.0,0.318,0.38,193.858
6,Wake Up Call,True,27,0.521,0.734,11,-10.585,0,0.22,0.135,0.000891,0.704,0.562,93.755
7,Weinig Real,True,30,0.632,0.543,11,-8.995,0,0.303,0.0786,2.88e-05,0.0821,0.406,85.559
8,Blond En Blauw,False,28,0.545,0.689,9,-8.188,0,0.301,0.153,0.00022,0.811,0.175,88.718
9,RCL,False,25,0.5,0.831,3,-7.386,1,0.26,0.115,0.0,0.33,0.65,92.471
10,Maar Een Mens,False,21,0.495,0.585,6,-9.185,0,0.357,0.249,1.2e-06,0.216,0.196,123.468
11,Horizon,False,17,0.582,0.686,0,-7.126,0,0.237,0.176,2.3e-05,0.289,0.484,87.272
12,Intro (De Belofte),True,22,0.411,0.727,10,-6.647,0,0.437,0.23,0.0,0.365,0.521,85.585
13,W.I.N.N.E.,True,40,0.714,0.771,6,-6.063,0,0.085,0.011,0.0,0.251,0.554,92.105
14,Lotgenoot,True,46,0.664,0.713,8,-7.751,1,0.18,0.00792,0.0,0.317,0.448,81.034
15,Winne Zonder Strijd,True,26,0.658,0.704,7,-7.166,1,0.217,0.00252,0.0,0.123,0.324,80.989
16,Zomersessie 2018 - 101Barz,True,37,0.509,0.549,11,-8.785,0,0.414,0.131,0.0,0.505,0.763,171.732
17,101Barz - Remastered Studiosessie,True,45,0.589,0.626,7,-8.071,1,0.227,0.313,0.0,0.629,0.934,92.193
18,Zegevieren,True,39,0.534,0.856,11,-8.087,0,0.102,0.0114,0.000155,0.687,0.761,109.363
19,Luidsprekers,True,20,0.592,0.95,11,-6.792,0,0.421,0.0629,0.00942,0.0828,0.492,176.104
20,Doe Alsof Je Weet! (Eckte Eckte),True,19,0.696,0.64,8,-7.87,0,0.249,0.0629,0.0,0.0821,0.86,85.986
21,Geef 8 - Remix,True,28,0.635,0.711,1,-6.489,1,0.127,0.0261,0.0,0.0977,0.521,88.002
22,Superman,True,40,0.671,0.725,9,-6.482,0,0.284,0.0133,0.0,0.248,0.276,94.959
23,Dankbaar,False,26,0.57,0.524,2,-9.555,1,0.118,0.0102,0.000177,0.163,0.229,95.062
24,Top 3 MC,True,14,0.809,0.64,5,-6.329,1,0.266,0.0739,0.0,0.0452,0.84,84.952
25,Pomp Die Shit,True,24,0.665,0.804,9,-5.486,0,0.319,0.0731,0.0,0.0285,0.765,86.022
26,Geef 8,True,16,0.684,0.721,11,-5.065,1,0.354,0.181,0.0,0.353,0.561,88.109
27,Proost,True,15,0.443,0.867,5,-5.215,1,0.338,0.214,0.0,0.467,0.512,171.452
28,Je Liegt,True,13,0.666,0.682,6,-5.985,1,0.251,0.446,0.0,0.0729,0.578,81.862
29,Beton,True,12,0.469,0.833,7,-3.928,1,0.307,0.112,0.0,0.316,0.6,113.058
30,Net Als Ik,True,21,0.596,0.883,6,-4.421,1,0.243,0.0165,9.61e-06,0.0774,0.927,92.561
31,40 Bars,True,20,0.788,0.762,1,-7.832,0,0.286,0.0547,0.0,0.121,0.755,97.024
32,Kampioen,False,10,0.651,0.593,8,-7.328,0,0.149,0.203,0.0,0.498,0.862,86.689
33,Intro,True,21,0.545,0.702,11,-8.522,0,0.137,0.0201,1.03e-06,0.071,0.213,84.591
34,Hard Van Buiten,True,25,0.52,0.567,2,-7.072,0,0.0638,0.745,0.0,0.135,0.0426,92.858
35,Loslaten,True,36,0.629,0.714,11,-7.325,0,0.135,0.254,0.0,0.507,0.284,84.585
36,Alice,True,43,0.818,0.309,0,-14.273,0,0.52,0.887,0.0,0.152,0.207,81.965
37,Russian Spies,True,43,0.759,0.359,2,-10.033,0,0.0527,0.134,0.0,0.0996,0.246,110.98
38,Camera's,True,42,0.711,0.335,5,-11.138,0,0.219,0.751,2.6e-06,0.108,0.527,82.113
39,Rollercoaster Tycoon,True,36,0.83,0.34,11,-11.995,1,0.408,0.712,0.0,0.114,0.308,116.091
40,Positief,True,36,0.85,0.434,2,-7.989,1,0.31,0.139,0.0,0.0966,0.195,87.014
41,162,False,41,0.545,0.723,1,-2.58,0,0.262,0.645,0.0,0.117,0.599,155.835
42,Voorwoord,True,39,0.661,0.704,0,-6.181,0,0.409,0.0961,0.0,0.109,0.547,81.882
43,Regendruppels,True,47,0.661,0.625,9,-8.366,0,0.569,0.755,0.0,0.237,0.617,100.135
44,DWDD,False,0,0.534,0.486,3,-8.387,0,0.27,0.589,9.76e-06,0.104,0.31,130.75
45,Outro,True,42,0.677,0.623,2,-6.339,1,0.241,0.249,0.0,0.387,0.22,90.244
46,Twijfel,True,40,0.654,0.917,10,-5.249,1,0.32,0.187,2.05e-06,0.0821,0.447,93.1
47,Laatste Van Mijn Soort,True,23,0.836,0.609,8,-7.187,0,0.428,0.31,0.0,0.0993,0.494,95.955
48,Kamervragen,False,0,0.741,0.511,2,-8.148,0,0.152,0.715,0.0,0.104,0.5,82.012
49,Zoveel Stress,False,46,0.554,0.538,9,-7.572,0,0.355,0.321,0.0,0.358,0.865,115.993
50,Nawoord,True,37,0.75,0.599,7,-7.452,1,0.423,0.66,3.71e-05,0.104,0.632,125.707
51,Quarantaine Sessie #1,False,41,0.77,0.667,2,-8.394,1,0.289,0.0642,0.000123,0.122,0.591,93.155
52,Arme Zielen,True,28,0.458,0.77,3,-6.305,0,0.328,0.0519,0.0,0.361,0.44,79.684
53,Terug Naar Toen,True,36,0.636,0.476,0,-11.085,1,0.485,0.572,0.0,0.108,0.548,99.925
54,Wat Is Echt,True,0,0.706,0.314,5,-13.014,0,0.411,0.759,0.000894,0.342,0.117,90.109
55,Loyaal Zijn,True,24,0.58,0.463,1,-8.212,1,0.53,0.0915,0.0,0.142,0.439,77.886
56,Alleen Soms,True,38,0.581,0.578,4,-8.415,0,0.31,0.242,0.0,0.0734,0.158,92.683
57,Paranoia,False,39,0.588,0.637,9,-9.237,1,0.401,0.272,0.0,0.0718,0.0435,97.197
58,Allemaal Op Brieven,False,39,0.711,0.559,11,-8.253,0,0.419,0.596,0.0,0.222,0.558,89.702
59,Onderweg,True,39,0.713,0.689,5,-7.565,0,0.554,0.45,0.0,0.115,0.337,89.835
